1787226289.615360, Self-RAG Decomposed-Shared, pipeline, prepare, start, 9345355453682025
1787226359.797563, Self-RAG Decomposed-Shared, Shared LLM (rewrite), run, start, 9345425635641817
1787226359.799895, Self-RAG Decomposed-Shared, Shared LLM (rewrite), first_token, start, 9345425637970688
1787226360.198951, Self-RAG Decomposed-Shared, Shared LLM (rewrite), first_token, end, 9345426037053130
1787226360.475287, Self-RAG Decomposed-Shared, pipeline - val, run, start, 242112284272851777658556326632916072735, 1787226360.474803, 1, 4, 9345426313378576
1787226360.476115, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345426314197235
1787226360.477100, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345426315179302
1787226360.477746, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345426315856600
1787226360.489732, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345426327798844
1787226360.489856, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345426327931772
1787226360.490711, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345426328781471
1787226360.490835, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345426328912976
1787226360.520034, Self-RAG Decomposed-Shared, pipeline - val, run, start, 55228176785655324331232773695771487658, 1787226360.519742, 1, 5, 9345426358115784
1787226360.520306, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345426358382793
1787226360.520861, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345426358939675
1787226360.522081, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345426360165662
1787226360.535300, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345426373379670
1787226360.535733, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345426373811288
1787226360.536240, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345426374311705
1787226360.694415, Self-RAG Decomposed-Shared, Shared LLM (rewrite), n_generated_tokens, 12, 9345426532499481
1787226360.694497, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345426532573049
1787226360.695314, Self-RAG Decomposed-Shared, Shared LLM (rewrite), run, end, 9345426533385020
1787226360.695964, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345426534075438
1787226360.711426, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345426549520253
1787226360.711703, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345426549781245
1787226360.712857, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345426550929985
1787226361.191988, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345427030105886
1787226361.351633, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345427189721233
1787226361.352385, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345427190464004
1787226361.352476, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345427190539156
1787226361.352765, Self-RAG Decomposed-Shared, Grade router, run, start, 9345427190834245
1787226361.352910, Self-RAG Decomposed-Shared, Grade router, run, end, 9345427190972469
1787226361.353258, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 9345427191366454
1787226361.353858, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 9345427191925976
1787226361.354190, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 9345427192260441
1787226361.355063, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345427193134364
1787226361.758842, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345427597062725
1787226361.919265, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345427757351915
1787226361.919587, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345427757652460
1787226361.920515, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345427758593470
1787226361.920233, Self-RAG Decomposed-Shared, Grade router, run, start, 9345427758317230
1787226361.921049, Self-RAG Decomposed-Shared, Grade router, run, end, 9345427759117024
1787226361.919700, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 9345427757791916
1787226361.923223, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 9345427761334535
1787226361.923844, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 9345427761912505
1787226362.426482, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 9345428264603804
1787226362.658486, Self-RAG Decomposed-Shared, Shared LLM (generate), n_generated_tokens, 6, 9345428496573147
1787226362.658626, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345428496730188
1787226362.659539, Self-RAG Decomposed-Shared, Shared LLM (generate), run, end, 9345428497605678
1787226362.659642, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 9345428497703151
1787226362.660636, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, start, 9345428498715570
1787226362.662075, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, end, 9345428500150214
1787226362.662323, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, start, 9345428500400439
1787226363.121588, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345428959694728
1787226363.272632, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345429110719618
1787226363.273217, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345429111299027
1787226363.273820, Self-RAG Decomposed-Shared, Grade router, run, start, 9345429111902325
1787226363.274005, Self-RAG Decomposed-Shared, Grade router, run, end, 9345429112068150
1787226363.274882, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 9345429112984761
1787226363.275752, Self-RAG Decomposed-Shared, End stage, run, start, 9345429113829307
1787226363.276010, Self-RAG Decomposed-Shared, End stage, run, end, 9345429114072188
1787226363.276887, Self-RAG Decomposed-Shared, pipeline - val, run, end, 317478945631548018929056245128751865055, 1787226357.799620, 1, 3, 9345429114969183
1787226363.699959, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 9345429538145057
1787226364.026513, Self-RAG Decomposed-Shared, Shared LLM (generate), n_generated_tokens, 7, 9345429864603599
1787226364.026841, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, start, 9345429864934720
1787226364.027753, Self-RAG Decomposed-Shared, Shared LLM (generate), run, end, 9345429865836835
1787226364.028491, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, start, 9345429866581157
1787226364.029337, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, end, 9345429867409848
1787226364.516429, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, end, 9345430354546204
1787226364.685173, Self-RAG Decomposed-Shared, Shared LLM (hallucination), n_generated_tokens, 4, 9345430523260300
1787226364.685782, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, end, 9345430523865870
1787226364.686197, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, start, 9345430524274207
1787226364.687681, Self-RAG Decomposed-Shared, Hallucination router, run, start, 9345430525768451
1787226364.688152, Self-RAG Decomposed-Shared, Hallucination router, run, end, 9345430526228261
1787226364.688437, Self-RAG Decomposed-Shared, End stage, run, start, 9345430526518838
1787226364.689222, Self-RAG Decomposed-Shared, End stage, run, end, 9345430527284680
1787226364.689361, Self-RAG Decomposed-Shared, pipeline - val, run, end, 242112284272851777658556326632916072735, 1787226360.474803, 1, 4, 9345430527438712
1787226364.689597, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, start, 9345430527666985
1787226365.087504, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, end, 9345430925618800
1787226365.227028, Self-RAG Decomposed-Shared, Shared LLM (hallucination), n_generated_tokens, 4, 9345431065114614
1787226365.227350, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, end, 9345431065417607
1787226365.227919, Self-RAG Decomposed-Shared, Hallucination router, run, start, 9345431066014057
1787226365.228644, Self-RAG Decomposed-Shared, Hallucination router, run, end, 9345431066727787
1787226365.229212, Self-RAG Decomposed-Shared, End stage, run, start, 9345431067295661
1787226365.229988, Self-RAG Decomposed-Shared, End stage, run, end, 9345431068067359
1787226365.230273, Self-RAG Decomposed-Shared, pipeline - val, run, end, 55228176785655324331232773695771487658, 1787226360.519742, 1, 5, 9345431068364160
1787226367.300011, Self-RAG Decomposed-Shared, pipeline - val, run, start, 152343348240222258520969151957180074443, 1787226367.299567, 1, 6, 9345433138103731
1787226367.300446, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345433138521444
1787226367.300797, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345433138866677
1787226367.301367, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345433139475335
1787226367.310051, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345433148127809
1787226367.310214, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345433148290577
1787226367.310869, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345433148945427
1787226367.311113, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345433149187652
1787226367.313667, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345433151733036
1787226367.715553, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345433553690510
1787226367.890310, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345433728398176
1787226367.891974, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345433730057365
1787226367.892731, Self-RAG Decomposed-Shared, Grade router, run, start, 9345433730817415
1787226367.893222, Self-RAG Decomposed-Shared, Grade router, run, end, 9345433731301112
1787226367.893658, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 9345433731745466
1787226367.894169, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 9345433732237995
1787226367.895365, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 9345433733471215
1787226367.898465, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 9345433736529976
1787226368.306015, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 9345434144127179
1787226368.474653, Self-RAG Decomposed-Shared, pipeline - val, run, start, 57131624288928471173968875767984060965, 1787226368.474424, 1, 7, 9345434312749466
1787226368.475448, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345434313524796
1787226368.476058, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345434314128318
1787226368.476543, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345434314624912
1787226368.486932, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345434325008735
1787226368.487315, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345434325392864
1787226368.487941, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345434326034914
1787226368.488053, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345434326127379
1787226368.585250, Self-RAG Decomposed-Shared, Shared LLM (generate), n_generated_tokens, 7, 9345434423335785
1787226368.585378, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345434423481402
1787226368.585670, Self-RAG Decomposed-Shared, Shared LLM (generate), run, end, 9345434423737834
1787226368.585803, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, start, 9345434423882075
1787226368.587509, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, end, 9345434425589792
1787226368.587623, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, start, 9345434425703504
1787226368.960368, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345434798490810
1787226369.123804, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345434961911385
1787226369.124021, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, start, 9345434962125274
1787226369.125024, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345434963099485
1787226369.125599, Self-RAG Decomposed-Shared, Grade router, run, start, 9345434963678270
1787226369.125902, Self-RAG Decomposed-Shared, Grade router, run, end, 9345434963964943
1787226369.126386, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 9345434964467793
1787226369.127061, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 9345434965135059
1787226369.127642, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 9345434965753525
1787226369.525578, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, end, 9345435363685131
1787226369.675392, Self-RAG Decomposed-Shared, Shared LLM (hallucination), n_generated_tokens, 4, 9345435513479392
1787226369.675978, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, end, 9345435514059650
1787226369.676381, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 9345435514486355
1787226369.678061, Self-RAG Decomposed-Shared, Hallucination router, run, start, 9345435516131400
1787226369.678257, Self-RAG Decomposed-Shared, Hallucination router, run, end, 9345435516319017
1787226369.678839, Self-RAG Decomposed-Shared, End stage, run, start, 9345435516926971
1787226369.679102, Self-RAG Decomposed-Shared, End stage, run, end, 9345435517163932
1787226369.679749, Self-RAG Decomposed-Shared, pipeline - val, run, end, 152343348240222258520969151957180074443, 1787226367.299567, 1, 6, 9345435517832702
1787226370.064106, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 9345435902266970
1787226370.282919, Self-RAG Decomposed-Shared, Shared LLM (generate), n_generated_tokens, 6, 9345436121004497
1787226370.283518, Self-RAG Decomposed-Shared, Shared LLM (generate), run, end, 9345436121583043
1787226370.283729, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, start, 9345436121811699
1787226370.285773, Self-RAG Decomposed-Shared, Hallucination grader formatter, run, end, 9345436123882650
1787226370.286097, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, start, 9345436124208939
1787226370.290630, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, start, 9345436128716552
1787226370.672762, Self-RAG Decomposed-Shared, Shared LLM (hallucination), first_token, end, 9345436510887615
1787226370.840092, Self-RAG Decomposed-Shared, Shared LLM (hallucination), n_generated_tokens, 4, 9345436678178474
1787226370.840875, Self-RAG Decomposed-Shared, Shared LLM (hallucination), run, end, 9345436678940076
1787226370.841077, Self-RAG Decomposed-Shared, Hallucination router, run, start, 9345436679183709
1787226370.841372, Self-RAG Decomposed-Shared, Hallucination router, run, end, 9345436679435374
1787226370.842234, Self-RAG Decomposed-Shared, End stage, run, start, 9345436680324560
1787226370.842790, Self-RAG Decomposed-Shared, End stage, run, end, 9345436680869426
1787226370.843087, Self-RAG Decomposed-Shared, pipeline - val, run, end, 57131624288928471173968875767984060965, 1787226368.474424, 1, 7, 9345436681172995
1787226372.159938, Self-RAG Decomposed-Shared, pipeline - val, run, start, 20676332772713386549848919750780667467, 1787226372.159388, 1, 8, 9345437998047145
1787226372.160409, Self-RAG Decomposed-Shared, Question dataloader, run, start, 9345437998485082
1787226372.160927, Self-RAG Decomposed-Shared, Question dataloader, run, end, 9345437999014988
1787226372.161501, Self-RAG Decomposed-Shared, Document retriever, run, start, 9345437999606526
1787226372.172434, Self-RAG Decomposed-Shared, Document retriever, run, end, 9345438010514799
1787226372.172590, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, start, 9345438010668159
1787226372.173350, Self-RAG Decomposed-Shared, Retrieval grader formatter, run, end, 9345438011422210
1787226372.173488, Self-RAG Decomposed-Shared, Shared LLM (grade), run, start, 9345438011564882
1787226372.176235, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, start, 9345438014301818
1787226372.631423, Self-RAG Decomposed-Shared, Shared LLM (grade), first_token, end, 9345438469529485
1787226372.777414, Self-RAG Decomposed-Shared, Shared LLM (grade), n_generated_tokens, 4, 9345438615499256
1787226372.778105, Self-RAG Decomposed-Shared, Shared LLM (grade), run, end, 9345438616170874
1787226372.778617, Self-RAG Decomposed-Shared, Grade router, run, start, 9345438616691372
1787226372.778790, Self-RAG Decomposed-Shared, Grade router, run, end, 9345438616853180
1787226372.778989, Self-RAG Decomposed-Shared, Answer generator formatter, run, start, 9345438617073549
1787226372.779514, Self-RAG Decomposed-Shared, Answer generator formatter, run, end, 9345438617588766
1787226372.780059, Self-RAG Decomposed-Shared, Shared LLM (generate), run, start, 9345438618145936
1787226372.783105, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, start, 9345438621192377
1787226373.248156, Self-RAG Decomposed-Shared, Shared LLM (generate), first_token, end, 9345439086277994
