1787477740.072422, Self-RAG Monolith 4B (multi-hop), pipeline, prepare, start, 9596805910759073
1787477803.058572, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596868896639176
1787477803.059351, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596868897457400
1787477803.064390, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 878, 9596868902504886
1787477803.064577, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596868902648662
1787477803.790955, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596869629051930
1787477804.798255, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596870636343830
1787477804.798630, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596870636695446
1787477804.799815, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596870637929142
1787477804.800142, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596870638204806
1787477804.801044, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9596870639135733
1787477804.801500, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9596870639563141
1787477804.801665, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9596870639749973
1787477804.803995, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 634, 9596870642071380
1787477804.804046, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9596870642107140
1787477805.133271, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9596870971371307
1787477805.372691, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9596871210776674
1787477805.372964, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9596871211028914
1787477805.373226, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596871211298946
1787477805.383644, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596871221725246
1787477805.383809, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596871221901902
1787477805.384390, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596871222452926
1787477805.384655, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596871222736366
1787477805.387629, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1237, 9596871225697101
1787477805.387666, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596871225728077
1787477805.966567, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596871804667367
1787477806.948504, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596872786590589
1787477806.949689, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596872787772124
1787477806.950235, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596872788319436
1787477806.950400, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596872788461964
1787477806.950557, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9596872788646476
1787477806.951065, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9596872789128972
1787477806.951369, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9596872789442956
1787477806.953556, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 928, 9596872791624171
1787477806.953590, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9596872791651035
1787477807.390252, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9596873228347610
1787477807.632899, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9596873470984896
1787477807.633203, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9596873471269264
1787477807.633443, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596873471516848
1787477807.643664, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596873481741676
1787477807.644091, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596873482182700
1787477807.644454, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596873482516492
1787477807.644506, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596873482573340
1787477807.647171, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1237, 9596873485240987
1787477807.647211, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596873485271339
1787477808.219781, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596874057875944
1787477809.274484, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596875112571843
1787477809.275430, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596875113504802
1787477809.275737, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596875113817730
1787477809.276114, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596875114190194
1787477809.276524, Self-RAG Monolith 4B (multi-hop), End stage, run, start, 9596875114604354
1787477809.276783, Self-RAG Monolith 4B (multi-hop), End stage, run, end, 9596875114845282
1787477809.277001, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, end, 48695690440966473020009299611149782522, 1787477802.982374, 1, 1, 9596875115089378
1787477809.278226, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 311781256578871126818548774090214645602, 1787477809.278100, 1, 2, 9596875116301857
1787477809.278475, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9596875116549665
1787477809.279079, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9596875117151137
1787477809.279232, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596875117307025
1787477809.291289, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596875129374125
1787477809.291822, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596875129908684
1787477809.292434, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596875130511404
1787477809.292504, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596875130570268
1787477809.294992, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 874, 9596875133057723
1787477809.295022, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596875133082315
1787477809.707328, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596875545418451
1787477810.762478, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596876600566046
1787477810.762784, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596876600849022
1787477810.763820, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596876601934365
1787477810.764156, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596876602219389
1787477810.764735, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9596876602822269
1787477810.765155, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9596876603219133
1787477810.765310, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9596876603395389
1787477810.767857, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 666, 9596876605942172
1787477810.767935, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9596876605995820
1787477811.115089, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9596876953189564
1787477811.453667, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 9, 9596877291757247
1787477811.453988, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9596877292053023
1787477811.454640, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596877292718574
1787477811.466409, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596877304483850
1787477811.466987, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596877305072266
1787477811.467527, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596877305603050
1787477811.468150, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596877306226570
1787477811.471572, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1495, 9596877309642664
1787477811.471618, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596877309678776
1787477812.159985, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596877998079418
1787477813.151674, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596878989760669
1787477813.152004, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596878990069949
1787477813.152651, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596878990769852
1787477813.152871, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596878990932828
1787477813.153061, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9596878991150300
1787477813.153795, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9596878991858972
1787477813.153936, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9596878992015740
1787477813.156681, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 1053, 9596878994765883
1787477813.156764, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9596878994824923
1787477813.652534, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9596879490628852
1787477814.005881, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 9, 9596879843967041
1787477814.006569, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9596879844645377
1787477814.007201, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596879845283985
1787477814.015644, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596879853716590
1787477814.016170, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596879854258590
1787477814.016529, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596879854591981
1787477814.016595, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596879854676733
1787477814.019610, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1495, 9596879857675340
1787477814.019641, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596879857701260
1787477814.709283, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596880547380782
1787477815.698790, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596881536878544
1787477815.699133, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596881537198832
1787477815.699955, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596881538046896
1787477815.700155, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596881538217360
1787477815.700415, Self-RAG Monolith 4B (multi-hop), End stage, run, start, 9596881538502256
1787477815.700719, Self-RAG Monolith 4B (multi-hop), End stage, run, end, 9596881538781504
1787477815.701180, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, end, 311781256578871126818548774090214645602, 1787477809.278100, 1, 2, 9596881539273632
1787477815.701647, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 216053468562236754941068237442090327985, 1787477815.701516, 1, 3, 9596881539722383
1787477815.701892, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9596881539968751
1787477815.702503, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9596881540573839
1787477815.702833, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596881540904495
1787477815.714809, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596881552885867
1787477815.715379, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596881553466330
1787477815.715731, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596881553793418
1787477815.715801, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596881553884250
1787477815.718499, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1064, 9596881556565529
1787477815.718532, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596881556592217
1787477816.220480, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596882058574288
1787477817.364421, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 28, 9596883202533210
1787477817.364805, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596883202869706
1787477817.365279, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596883203400986
1787477817.365606, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596883203669882
1787477817.365783, Self-RAG Monolith 4B (multi-hop), End stage, run, start, 9596883203867962
1787477817.366640, Self-RAG Monolith 4B (multi-hop), End stage, run, end, 9596883204718169
1787477817.366851, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, end, 216053468562236754941068237442090327985, 1787477815.701516, 1, 3, 9596883204940729
1787477817.367681, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 183989121448699074400923565668182321420, 1787477817.367596, 1, 4, 9596883205752601
1787477817.367904, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9596883205978137
1787477817.368275, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9596883206338569
1787477817.368430, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596883206504953
1787477817.380004, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596883218077684
1787477817.380331, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596883218422916
1787477817.380672, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596883218734564
1787477817.380735, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596883218817636
1787477817.382627, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 696, 9596883220691955
1787477817.382672, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596883220733443
1787477817.731859, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596883569966643
1787477818.893579, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 26, 9596884731667206
1787477818.893889, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596884731953894
1787477818.894376, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596884732498693
1787477818.894612, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596884732674037
1787477818.894798, Self-RAG Monolith 4B (multi-hop), End stage, run, start, 9596884732886501
1787477818.895584, Self-RAG Monolith 4B (multi-hop), End stage, run, end, 9596884733662549
1787477818.895797, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, end, 183989121448699074400923565668182321420, 1787477817.367596, 1, 4, 9596884733876709
1787477818.896258, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 2966530763524138421990550313403578103, 1787477818.896183, 1, 5, 9596884734322021
1787477818.896446, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9596884734520485
1787477818.896830, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9596884734894789
1787477818.897004, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596884735083476
1787477818.907908, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596884745986512
1787477818.908521, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596884746613840
1787477818.908961, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596884747023456
1787477818.909012, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596884747083744
1787477818.911414, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 906, 9596884749481983
1787477818.911448, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596884749509359
1787477819.354308, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596885192395899
1787477820.340312, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596886178396448
1787477820.340698, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596886178763232
1787477820.341290, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596886179388607
1787477820.341506, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596886179567727
1787477820.341677, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9596886179764255
1787477820.342092, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9596886180154671
1787477820.342258, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9596886180343839
1787477820.344441, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 650, 9596886182514878
1787477820.344491, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9596886182552030
1787477820.690024, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9596886528116863
1787477821.191904, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 11, 9596887029988918
1787477821.192206, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9596887030272037
1787477821.192490, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596887030569381
1787477821.204806, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596887042888913
1787477821.205423, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596887043517905
1787477821.205802, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596887043864817
1787477821.205884, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596887043975201
1787477821.209042, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1415, 9596887047106863
1787477821.209067, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596887047127343
1787477821.907227, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596887745322429
1787477823.169919, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 28, 9596889008018092
1787477823.170610, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596889008685787
1787477823.170878, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596889008953707
1787477823.171212, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596889009284699
1787477823.171360, Self-RAG Monolith 4B (multi-hop), End stage, run, start, 9596889009433819
1787477823.171748, Self-RAG Monolith 4B (multi-hop), End stage, run, end, 9596889009819675
1787477823.172026, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, end, 2966530763524138421990550313403578103, 1787477818.896183, 1, 5, 9596889010122347
1787477823.172766, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 97542334170102245110954988649932976270, 1787477823.172376, 1, 6, 9596889010848971
1787477823.173045, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9596889011124667
1787477823.173651, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9596889011725754
1787477823.173831, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596889011913866
1787477823.183134, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596889021211207
1787477823.183414, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596889021492407
1787477823.183929, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596889021999143
1787477823.184166, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596889022244374
1787477823.186761, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 950, 9596889024839829
1787477823.186818, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596889024878853
1787477823.630181, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596889468300161
1787477824.673839, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596890511926369
1787477824.674458, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596890512534352
1787477824.674975, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596890513058080
1787477824.675150, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596890513211792
1787477824.675339, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9596890513423056
1787477824.675784, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9596890513847536
1787477824.675914, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9596890513988256
1787477824.677675, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 658, 9596890515743743
1787477824.677710, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9596890515770351
1787477825.021169, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9596890859264816
1787477825.303301, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 7, 9596891141406809
1787477825.304090, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9596891142155528
1787477825.304361, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596891142436664
1787477825.315765, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596891153847300
1787477825.315942, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596891154043092
1787477825.316939, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596891155029683
1787477825.317065, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596891155132163
1787477825.321579, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1818, 9596891159656018
1787477825.321635, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596891159696306
1787477826.168293, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596892006390953
1787477827.205013, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596893043105434
1787477827.205714, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596893043787850
1787477827.205925, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596893044016778
1787477827.206123, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596893044184922
1787477827.206280, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, start, 9596893044353706
1787477827.206759, Self-RAG Monolith 4B (multi-hop), Query rewrite formatter, run, end, 9596893044824746
1787477827.206911, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, start, 9596893044976026
1787477827.209661, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_prompt_tokens, 1005, 9596893047732969
1787477827.209702, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, start, 9596893047762825
1787477827.690032, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, first_token, end, 9596893528125064
1787477828.016425, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, n_generated_tokens, 9, 9596893854513455
1787477828.017125, Self-RAG Monolith 4B (multi-hop), Query rewrite LLM, run, end, 9596893855187567
1787477828.017670, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596893855756111
1787477828.027946, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596893866025099
1787477828.028111, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596893866207515
1787477828.028592, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596893866655083
1787477828.028677, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596893866761531
1787477828.033571, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 2278, 9596893871636409
1787477828.033602, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596893871663209
1787477829.078291, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596894916409863
1787477830.150865, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 24, 9596895988949995
1787477830.151542, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, end, 9596895989606619
1787477830.151721, Self-RAG Monolith 4B (multi-hop), Monolith router, run, start, 9596895989809115
1787477830.152139, Self-RAG Monolith 4B (multi-hop), Monolith router, run, end, 9596895990217675
1787477830.152607, Self-RAG Monolith 4B (multi-hop), End stage, run, start, 9596895990690443
1787477830.152923, Self-RAG Monolith 4B (multi-hop), End stage, run, end, 9596895990985835
1787477830.152999, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, end, 97542334170102245110954988649932976270, 1787477823.172376, 1, 6, 9596895991071866
1787477830.153414, Self-RAG Monolith 4B (multi-hop), pipeline - val, run, start, 282501490200388217675847987367926972044, 1787477830.153242, 1, 7, 9596895991506170
1787477830.153725, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, start, 9596895991796266
1787477830.154116, Self-RAG Monolith 4B (multi-hop), Question dataloader, run, end, 9596895992179338
1787477830.154274, Self-RAG Monolith 4B (multi-hop), Document retriever, run, start, 9596895992348746
1787477830.165284, Self-RAG Monolith 4B (multi-hop), Document retriever, run, end, 9596896003355238
1787477830.165591, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, start, 9596896003676838
1787477830.166127, Self-RAG Monolith 4B (multi-hop), Monolith formatter, run, end, 9596896004205446
1787477830.166361, Self-RAG Monolith 4B (multi-hop), Monolith LLM, run, start, 9596896004439941
1787477830.169620, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_prompt_tokens, 1241, 9596896007686516
1787477830.169654, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, start, 9596896007714708
1787477830.744085, Self-RAG Monolith 4B (multi-hop), Monolith LLM, first_token, end, 9596896582179008
1787477832.125405, Self-RAG Monolith 4B (multi-hop), Monolith LLM, n_generated_tokens, 30, 9596897963492515
