1783993576.854510, RAG serve plain, pipeline, prepare, start, 85446278046458
1783993637.448465, RAG serve plain, Answer formatter, run, start, 85506872641708
1783993637.448788, RAG serve plain, Answer formatter, run, end, 85506872953750
1783993637.448828, RAG serve plain, Generator LLM, run, start, 85506872993750
1783993639.714258, RAG serve plain, Generator LLM, run, end, 85509138460833
1783993639.714328, RAG serve plain, End stage, run, start, 85509138522208
1783993639.715196, RAG serve plain, End stage, run, end, 85509139388916
1783993639.715230, RAG serve plain, pipeline - val, run, end, 156342061051951708976465134263557156982, 1783993637.356725, 1, 9, 85509139422708
1783993639.715361, RAG serve plain, pipeline - val, run, start, 293530106814856076916104566087154041820, 1783993639.715338, 1, 10, 85509139552083
1783993639.715436, RAG serve plain, Question dataloader, run, start, 85509139627041
1783993639.715604, RAG serve plain, Question dataloader, run, end, 85509139794708
1783993639.715634, RAG serve plain, Document retriever, run, start, 85509139824750
1783993639.799869, RAG serve plain, Document retriever, run, end, 85509224072083
1783993639.799926, RAG serve plain, Answer formatter, run, start, 85509224117750
1783993639.800184, RAG serve plain, Answer formatter, run, end, 85509224377291
1783993639.800215, RAG serve plain, Generator LLM, run, start, 85509224406375
1783993641.729652, RAG serve plain, Generator LLM, run, end, 85511153879333
1783993641.729719, RAG serve plain, End stage, run, start, 85511153936875
1783993641.730619, RAG serve plain, End stage, run, end, 85511154836833
1783993641.730655, RAG serve plain, pipeline - val, run, end, 293530106814856076916104566087154041820, 1783993639.715338, 1, 10, 85511154870250
1783993641.730797, RAG serve plain, pipeline - val, run, start, 154733525405873957371675537495395168416, 1783993641.730770, 1, 11, 85511155011291
1783993641.730860, RAG serve plain, Question dataloader, run, start, 85511155075625
1783993641.731028, RAG serve plain, Question dataloader, run, end, 85511155242916
1783993641.731058, RAG serve plain, Document retriever, run, start, 85511155273458
1783993641.817442, RAG serve plain, Document retriever, run, end, 85511241673583
1783993641.817505, RAG serve plain, Answer formatter, run, start, 85511241721416
1783993641.817772, RAG serve plain, Answer formatter, run, end, 85511241989166
1783993641.817802, RAG serve plain, Generator LLM, run, start, 85511242017458
1783993643.517443, RAG serve plain, Generator LLM, run, end, 85512941692666
1783993643.517515, RAG serve plain, End stage, run, start, 85512941756083
1783993643.518330, RAG serve plain, End stage, run, end, 85512942569083
1783993643.518364, RAG serve plain, pipeline - val, run, end, 154733525405873957371675537495395168416, 1783993641.730770, 1, 11, 85512942601958
1783993643.518490, RAG serve plain, pipeline - val, run, start, 215801747356466024164415088615271764255, 1783993643.518467, 1, 12, 85512942727541
1783993643.518554, RAG serve plain, Question dataloader, run, start, 85512942791625
1783993643.518713, RAG serve plain, Question dataloader, run, end, 85512942949291
1783993643.518742, RAG serve plain, Document retriever, run, start, 85512942978750
1783993643.604398, RAG serve plain, Document retriever, run, end, 85513028651916
1783993643.604466, RAG serve plain, Answer formatter, run, start, 85513028707625
1783993643.604743, RAG serve plain, Answer formatter, run, end, 85513028983166
1783993643.604781, RAG serve plain, Generator LLM, run, start, 85513029019833
1783993644.667970, RAG serve plain, Generator LLM, run, end, 85514092233750
1783993644.668039, RAG serve plain, End stage, run, start, 85514092292833
1783993644.668977, RAG serve plain, End stage, run, end, 85514093229750
1783993644.669011, RAG serve plain, pipeline - val, run, end, 215801747356466024164415088615271764255, 1783993643.518467, 1, 12, 85514093263791
1783993644.669131, RAG serve plain, pipeline - val, run, start, 205864083781119553791594923670537645048, 1783993644.669110, 1, 13, 85514093382250
1783993644.669191, RAG serve plain, Question dataloader, run, start, 85514093441666
1783993644.669366, RAG serve plain, Question dataloader, run, end, 85514093615791
1783993644.669407, RAG serve plain, Document retriever, run, start, 85514093657666
1783993644.752451, RAG serve plain, Document retriever, run, end, 85514176714500
1783993644.752506, RAG serve plain, Answer formatter, run, start, 85514176758625
1783993644.752770, RAG serve plain, Answer formatter, run, end, 85514177023666
1783993644.752801, RAG serve plain, Generator LLM, run, start, 85514177052500
1783993646.528279, RAG serve plain, Generator LLM, run, end, 85515952566500
1783993646.528349, RAG serve plain, End stage, run, start, 85515952625458
1783993646.529165, RAG serve plain, End stage, run, end, 85515953440666
1783993646.529203, RAG serve plain, pipeline - val, run, end, 205864083781119553791594923670537645048, 1783993644.669110, 1, 13, 85515953476333
1783993646.529345, RAG serve plain, pipeline - val, run, start, 81700479216267774284076166389189688908, 1783993646.529322, 1, 14, 85515953619458
1783993646.529412, RAG serve plain, Question dataloader, run, start, 85515953684583
1783993646.529569, RAG serve plain, Question dataloader, run, end, 85515953841625
1783993646.529597, RAG serve plain, Document retriever, run, start, 85515953871125
1783993646.611844, RAG serve plain, Document retriever, run, end, 85516036130666
1783993646.611904, RAG serve plain, Answer formatter, run, start, 85516036179833
1783993646.612156, RAG serve plain, Answer formatter, run, end, 85516036431250
1783993646.612191, RAG serve plain, Generator LLM, run, start, 85516036466750
1783993648.469103, RAG serve plain, Generator LLM, run, end, 85517893421250
1783993648.469208, RAG serve plain, End stage, run, start, 85517893515583
1783993648.470244, RAG serve plain, End stage, run, end, 85517894546833
1783993648.470296, RAG serve plain, pipeline - val, run, end, 81700479216267774284076166389189688908, 1783993646.529322, 1, 14, 85517894597083
1783993648.470513, RAG serve plain, pipeline - val, run, start, 279574307003415300729488768248583582272, 1783993648.470474, 1, 15, 85517894813916
1783993648.470622, RAG serve plain, Question dataloader, run, start, 85517894922750
1783993648.470888, RAG serve plain, Question dataloader, run, end, 85517895187416
1783993648.470930, RAG serve plain, Document retriever, run, start, 85517895229791
1783993648.580806, RAG serve plain, Document retriever, run, end, 85518005118666
1783993648.580869, RAG serve plain, Answer formatter, run, start, 85518005170041
1783993648.581139, RAG serve plain, Answer formatter, run, end, 85518005438375
1783993648.581170, RAG serve plain, Generator LLM, run, start, 85518005468958
1783993649.795499, RAG serve plain, Generator LLM, run, end, 85519219826500
1783993649.795576, RAG serve plain, End stage, run, start, 85519219895416
1783993649.796468, RAG serve plain, End stage, run, end, 85519220784708
1783993649.796507, RAG serve plain, pipeline - val, run, end, 279574307003415300729488768248583582272, 1783993648.470474, 1, 15, 85519220822833
1783993649.796687, RAG serve plain, pipeline - val, run, start, 269723696784274500225058967164917097431, 1783993649.796650, 1, 16, 85519221001791
1783993649.796768, RAG serve plain, Question dataloader, run, start, 85519221083166
1783993649.796964, RAG serve plain, Question dataloader, run, end, 85519221278541
1783993649.796998, RAG serve plain, Document retriever, run, start, 85519221311750
1783993649.895372, RAG serve plain, Document retriever, run, end, 85519319698000
1783993649.895431, RAG serve plain, Answer formatter, run, start, 85519319748250
1783993649.895707, RAG serve plain, Answer formatter, run, end, 85519320021833
1783993649.895737, RAG serve plain, Generator LLM, run, start, 85519320051833
1783993652.066266, RAG serve plain, Generator LLM, run, end, 85521490618791
1783993652.066333, RAG serve plain, End stage, run, start, 85521490677833
1783993652.067548, RAG serve plain, End stage, run, end, 85521491892375
1783993652.067585, RAG serve plain, pipeline - val, run, end, 269723696784274500225058967164917097431, 1783993649.796650, 1, 16, 85521491926625
1783993652.067731, RAG serve plain, pipeline - val, run, start, 27968396759955694568367912080822157778, 1783993652.067708, 1, 17, 85521492072958
1783993652.067792, RAG serve plain, Question dataloader, run, start, 85521492134541
1783993652.067960, RAG serve plain, Question dataloader, run, end, 85521492300500
1783993652.067990, RAG serve plain, Document retriever, run, start, 85521492331083
1783993652.154842, RAG serve plain, Document retriever, run, end, 85521579195458
1783993652.154897, RAG serve plain, Answer formatter, run, start, 85521579240041
1783993652.155149, RAG serve plain, Answer formatter, run, end, 85521579492958
1783993652.155180, RAG serve plain, Generator LLM, run, start, 85521579522000
1783993653.919897, RAG serve plain, Generator LLM, run, end, 85523344278250
1783993653.919985, RAG serve plain, End stage, run, start, 85523344355375
1783993653.921239, RAG serve plain, End stage, run, end, 85523345605291
1783993653.921278, RAG serve plain, pipeline - val, run, end, 27968396759955694568367912080822157778, 1783993652.067708, 1, 17, 85523345644500
1783993653.921440, RAG serve plain, pipeline - val, run, start, 52402996187109586615306993856584052460, 1783993653.921412, 1, 18, 85523345804791
1783993653.921523, RAG serve plain, Question dataloader, run, start, 85523345888875
1783993653.921744, RAG serve plain, Question dataloader, run, end, 85523346108416
1783993653.921778, RAG serve plain, Document retriever, run, start, 85523346143166
1783993654.017691, RAG serve plain, Document retriever, run, end, 85523442067500
1783993654.017750, RAG serve plain, Answer formatter, run, start, 85523442117416
1783993654.017995, RAG serve plain, Answer formatter, run, end, 85523442361583
1783993654.018027, RAG serve plain, Generator LLM, run, start, 85523442392250
1783993655.894484, RAG serve plain, Generator LLM, run, end, 85525318907500
1783993655.894619, RAG serve plain, End stage, run, start, 85525319016125
1783993655.895818, RAG serve plain, End stage, run, end, 85525320211916
1783993655.895864, RAG serve plain, pipeline - val, run, end, 52402996187109586615306993856584052460, 1783993653.921412, 1, 18, 85525320255500
1783993655.896083, RAG serve plain, pipeline - val, run, start, 184641821492847395673703771452931457087, 1783993655.896048, 1, 19, 85525320474083
1783993655.896182, RAG serve plain, Question dataloader, run, start, 85525320573208
1783993655.896532, RAG serve plain, Question dataloader, run, end, 85525320921750
1783993655.896576, RAG serve plain, Document retriever, run, start, 85525320966166
1783993656.005389, RAG serve plain, Document retriever, run, end, 85525429794000
1783993656.005456, RAG serve plain, Answer formatter, run, start, 85525429847791
1783993656.005747, RAG serve plain, Answer formatter, run, end, 85525430137125
1783993656.005780, RAG serve plain, Generator LLM, run, start, 85525430170458
1783993657.380098, RAG serve plain, Generator LLM, run, end, 85526804516791
1783993657.380164, RAG serve plain, End stage, run, start, 85526804573666
1783993657.381214, RAG serve plain, End stage, run, end, 85526805622166
1783993657.381267, RAG serve plain, pipeline - val, run, end, 184641821492847395673703771452931457087, 1783993655.896048, 1, 19, 85526805673875
1783993657.381432, RAG serve plain, pipeline - val, run, start, 180451899346083060656043931912425010615, 1783993657.381344, 1, 20, 85526805838000
1783993657.381507, RAG serve plain, Question dataloader, run, start, 85526805911250
1783993657.381663, RAG serve plain, Question dataloader, run, end, 85526806068750
1783993657.381703, RAG serve plain, Document retriever, run, start, 85526806108583
1783993657.468164, RAG serve plain, Document retriever, run, end, 85526892582500
1783993657.468222, RAG serve plain, Answer formatter, run, start, 85526892631708
1783993657.468485, RAG serve plain, Answer formatter, run, end, 85526892893333
1783993657.468518, RAG serve plain, Generator LLM, run, start, 85526892926250
1783993658.598944, RAG serve plain, Generator LLM, run, end, 85528023377083
1783993658.599010, RAG serve plain, End stage, run, start, 85528023433541
1783993658.599916, RAG serve plain, End stage, run, end, 85528024338416
1783993658.599949, RAG serve plain, pipeline - val, run, end, 180451899346083060656043931912425010615, 1783993657.381344, 1, 20, 85528024372000
