1783989952.313468, CLIP GPU encode pilot, pipeline, prepare, start, 81821666397208
1783989956.944892, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826297642583
1783989956.944938, CLIP GPU encode pilot, pipeline - val, run, end, 185296630660899847027799427888748591249, 1783989956.892906, 1, 10, 81826297683291
1783989956.945074, CLIP GPU encode pilot, pipeline - val, run, start, 262509221619438062046972773244781431148, 1783989956.945046, 1, 11, 81826297819000
1783989956.945128, CLIP GPU encode pilot, VQA dataloader, run, start, 81826297872541
1783989956.947315, CLIP GPU encode pilot, VQA dataloader, run, end, 81826300059583
1783989956.947361, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826300104000
1783989956.997130, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826349880333
1783989956.997178, CLIP GPU encode pilot, pipeline - val, run, end, 262509221619438062046972773244781431148, 1783989956.945046, 1, 11, 81826349923125
1783989956.997318, CLIP GPU encode pilot, pipeline - val, run, start, 234696473091171315953242848381772848060, 1783989956.997301, 1, 12, 81826350063083
1783989956.997374, CLIP GPU encode pilot, VQA dataloader, run, start, 81826350117916
1783989956.999096, CLIP GPU encode pilot, VQA dataloader, run, end, 81826351840625
1783989956.999143, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826351886166
1783989957.048965, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826401715375
1783989957.049014, CLIP GPU encode pilot, pipeline - val, run, end, 234696473091171315953242848381772848060, 1783989956.997301, 1, 12, 81826401759666
1783989957.049163, CLIP GPU encode pilot, pipeline - val, run, start, 298092618739808885875479888313819216725, 1783989957.049147, 1, 13, 81826401907750
1783989957.049226, CLIP GPU encode pilot, VQA dataloader, run, start, 81826401970250
1783989957.050845, CLIP GPU encode pilot, VQA dataloader, run, end, 81826403590000
1783989957.050893, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826403636625
1783989957.100507, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826453256291
1783989957.100558, CLIP GPU encode pilot, pipeline - val, run, end, 298092618739808885875479888313819216725, 1783989957.049147, 1, 13, 81826453303666
1783989957.100696, CLIP GPU encode pilot, pipeline - val, run, start, 134625662717277968108116517076945760453, 1783989957.100680, 1, 14, 81826453440083
1783989957.100749, CLIP GPU encode pilot, VQA dataloader, run, start, 81826453500000
1783989957.102376, CLIP GPU encode pilot, VQA dataloader, run, end, 81826455120250
1783989957.102421, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826455163500
1783989957.152327, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826505074083
1783989957.152371, CLIP GPU encode pilot, pipeline - val, run, end, 134625662717277968108116517076945760453, 1783989957.100680, 1, 14, 81826505115666
1783989957.152509, CLIP GPU encode pilot, pipeline - val, run, start, 263317799833056604669284675610621491031, 1783989957.152490, 1, 15, 81826505252500
1783989957.152577, CLIP GPU encode pilot, VQA dataloader, run, start, 81826505319291
1783989957.154693, CLIP GPU encode pilot, VQA dataloader, run, end, 81826507436458
1783989957.154738, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826507480833
1783989957.204688, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826557436000
1783989957.204731, CLIP GPU encode pilot, pipeline - val, run, end, 263317799833056604669284675610621491031, 1783989957.152490, 1, 15, 81826557475541
1783989957.204884, CLIP GPU encode pilot, pipeline - val, run, start, 326278311691377461737932697774641005220, 1783989957.204861, 1, 16, 81826557627250
1783989957.204946, CLIP GPU encode pilot, VQA dataloader, run, start, 81826557689375
1783989957.207391, CLIP GPU encode pilot, VQA dataloader, run, end, 81826560134583
1783989957.207442, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826560185000
1783989957.258025, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826610779375
1783989957.258093, CLIP GPU encode pilot, pipeline - val, run, end, 326278311691377461737932697774641005220, 1783989957.204861, 1, 16, 81826610842375
1783989957.258330, CLIP GPU encode pilot, pipeline - val, run, start, 228924205510615675472458942959685837220, 1783989957.258295, 1, 17, 81826611076958
1783989957.258463, CLIP GPU encode pilot, VQA dataloader, run, start, 81826611209666
1783989957.262641, CLIP GPU encode pilot, VQA dataloader, run, end, 81826615386958
1783989957.262712, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826615456375
1783989957.314700, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826667450291
1783989957.314756, CLIP GPU encode pilot, pipeline - val, run, end, 228924205510615675472458942959685837220, 1783989957.258295, 1, 17, 81826667502625
1783989957.314960, CLIP GPU encode pilot, pipeline - val, run, start, 204717626839499404493639969320250451558, 1783989957.314931, 1, 18, 81826667705125
1783989957.315056, CLIP GPU encode pilot, VQA dataloader, run, start, 81826667799208
1783989957.319355, CLIP GPU encode pilot, VQA dataloader, run, end, 81826672100083
1783989957.319426, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826672169041
1783989957.370953, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826723704500
1783989957.371011, CLIP GPU encode pilot, pipeline - val, run, end, 204717626839499404493639969320250451558, 1783989957.314931, 1, 18, 81826723756583
1783989957.371189, CLIP GPU encode pilot, pipeline - val, run, start, 209003051050509647536233706564784511913, 1783989957.371159, 1, 19, 81826723933208
1783989957.371301, CLIP GPU encode pilot, VQA dataloader, run, start, 81826724045375
1783989957.374879, CLIP GPU encode pilot, VQA dataloader, run, end, 81826727623041
1783989957.374936, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826727678458
1783989957.425677, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826778430291
1783989957.425739, CLIP GPU encode pilot, pipeline - val, run, end, 209003051050509647536233706564784511913, 1783989957.371159, 1, 19, 81826778485833
1783989957.425942, CLIP GPU encode pilot, pipeline - val, run, start, 181675301971500754709284805660425064533, 1783989957.425911, 1, 20, 81826778684833
1783989957.426026, CLIP GPU encode pilot, VQA dataloader, run, start, 81826778770708
1783989957.429330, CLIP GPU encode pilot, VQA dataloader, run, end, 81826782074625
1783989957.429396, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826782137708
1783989957.480772, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826833521708
1783989957.480827, CLIP GPU encode pilot, pipeline - val, run, end, 181675301971500754709284805660425064533, 1783989957.425911, 1, 20, 81826833571166
1783989957.481000, CLIP GPU encode pilot, pipeline - val, run, start, 31891613774598905487226402488517902186, 1783989957.480974, 1, 21, 81826833742291
1783989957.481093, CLIP GPU encode pilot, VQA dataloader, run, start, 81826833836375
1783989957.484634, CLIP GPU encode pilot, VQA dataloader, run, end, 81826837378041
1783989957.484696, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826837437875
1783989957.535693, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826888448458
1783989957.535762, CLIP GPU encode pilot, pipeline - val, run, end, 31891613774598905487226402488517902186, 1783989957.480974, 1, 21, 81826888505708
1783989957.535961, CLIP GPU encode pilot, pipeline - val, run, start, 219834442599192283135399835144753889493, 1783989957.535931, 1, 22, 81826888703458
1783989957.536051, CLIP GPU encode pilot, VQA dataloader, run, start, 81826888792958
1783989957.539765, CLIP GPU encode pilot, VQA dataloader, run, end, 81826892508875
1783989957.539830, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826892571250
1783989957.590619, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826943376208
1783989957.590692, CLIP GPU encode pilot, pipeline - val, run, end, 219834442599192283135399835144753889493, 1783989957.535931, 1, 22, 81826943439208
1783989957.590929, CLIP GPU encode pilot, pipeline - val, run, start, 175031215771903512574596445710757787702, 1783989957.590897, 1, 23, 81826943673708
1783989957.591014, CLIP GPU encode pilot, VQA dataloader, run, start, 81826943759375
1783989957.593648, CLIP GPU encode pilot, VQA dataloader, run, end, 81826946392250
1783989957.593694, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81826946436375
1783989957.645066, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81826997820000
1783989957.645130, CLIP GPU encode pilot, pipeline - val, run, end, 175031215771903512574596445710757787702, 1783989957.590897, 1, 23, 81826997873875
1783989957.645317, CLIP GPU encode pilot, pipeline - val, run, start, 257264871068092270297626886434815192702, 1783989957.645292, 1, 24, 81826998058041
1783989957.645390, CLIP GPU encode pilot, VQA dataloader, run, start, 81826998130500
1783989957.648181, CLIP GPU encode pilot, VQA dataloader, run, end, 81827000923500
1783989957.648225, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827000968416
1783989957.699329, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827052078625
1783989957.699387, CLIP GPU encode pilot, pipeline - val, run, end, 257264871068092270297626886434815192702, 1783989957.645292, 1, 24, 81827052145083
1783989957.699589, CLIP GPU encode pilot, pipeline - val, run, start, 108662441031024749801833028683459989570, 1783989957.699561, 1, 25, 81827052331000
1783989957.699685, CLIP GPU encode pilot, VQA dataloader, run, start, 81827052427708
1783989957.702672, CLIP GPU encode pilot, VQA dataloader, run, end, 81827055414291
1783989957.702716, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827055456708
1783989957.754306, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827107051708
1783989957.754357, CLIP GPU encode pilot, pipeline - val, run, end, 108662441031024749801833028683459989570, 1783989957.699561, 1, 25, 81827107098541
1783989957.754534, CLIP GPU encode pilot, pipeline - val, run, start, 94733827964340450212042395619402770457, 1783989957.754507, 1, 26, 81827107274916
1783989957.754637, CLIP GPU encode pilot, VQA dataloader, run, start, 81827107378208
1783989957.758080, CLIP GPU encode pilot, VQA dataloader, run, end, 81827110822250
1783989957.758141, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827110880625
1783989957.809526, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827162271250
1783989957.809579, CLIP GPU encode pilot, pipeline - val, run, end, 94733827964340450212042395619402770457, 1783989957.754507, 1, 26, 81827162328625
1783989957.809760, CLIP GPU encode pilot, pipeline - val, run, start, 141701857123260546476817907189235532177, 1783989957.809733, 1, 27, 81827162500958
1783989957.809863, CLIP GPU encode pilot, VQA dataloader, run, start, 81827162603625
1783989957.813601, CLIP GPU encode pilot, VQA dataloader, run, end, 81827166342750
1783989957.813664, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827166402708
1783989957.864745, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827217495833
1783989957.864812, CLIP GPU encode pilot, pipeline - val, run, end, 141701857123260546476817907189235532177, 1783989957.809733, 1, 27, 81827217554375
1783989957.865019, CLIP GPU encode pilot, pipeline - val, run, start, 253308964196698843452677120162197301082, 1783989957.864988, 1, 28, 81827217758708
1783989957.865109, CLIP GPU encode pilot, VQA dataloader, run, start, 81827217849500
1783989957.868212, CLIP GPU encode pilot, VQA dataloader, run, end, 81827220953708
1783989957.868261, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827221001583
1783989957.918685, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827271437000
1783989957.918747, CLIP GPU encode pilot, pipeline - val, run, end, 253308964196698843452677120162197301082, 1783989957.864988, 1, 28, 81827271487000
1783989957.918913, CLIP GPU encode pilot, pipeline - val, run, start, 263410982213662788791645034457893642299, 1783989957.918889, 1, 29, 81827271651416
1783989957.918981, CLIP GPU encode pilot, VQA dataloader, run, start, 81827271720208
1783989957.921775, CLIP GPU encode pilot, VQA dataloader, run, end, 81827274514375
1783989957.921815, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827274551833
1783989957.971522, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827324274791
1783989957.971593, CLIP GPU encode pilot, pipeline - val, run, end, 263410982213662788791645034457893642299, 1783989957.918889, 1, 29, 81827324344750
1783989957.971803, CLIP GPU encode pilot, pipeline - val, run, start, 289469250084833712403267039941095879908, 1783989957.971768, 1, 30, 81827324542458
1783989957.971893, CLIP GPU encode pilot, VQA dataloader, run, start, 81827324632833
1783989957.975612, CLIP GPU encode pilot, VQA dataloader, run, end, 81827328352041
1783989957.975654, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827328392333
1783989958.027913, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827380660250
1783989958.027970, CLIP GPU encode pilot, pipeline - val, run, end, 289469250084833712403267039941095879908, 1783989957.971768, 1, 30, 81827380710208
1783989958.028138, CLIP GPU encode pilot, pipeline - val, run, start, 309999766703561001089725086868912316799, 1783989958.028111, 1, 31, 81827380876958
1783989958.028225, CLIP GPU encode pilot, VQA dataloader, run, start, 81827380963500
1783989958.031023, CLIP GPU encode pilot, VQA dataloader, run, end, 81827383761916
1783989958.031064, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827383802041
1783989958.082188, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827434933208
1783989958.082242, CLIP GPU encode pilot, pipeline - val, run, end, 309999766703561001089725086868912316799, 1783989958.028111, 1, 31, 81827434981708
1783989958.082427, CLIP GPU encode pilot, pipeline - val, run, start, 149230526536514969672296525894765510100, 1783989958.082399, 1, 32, 81827435165416
1783989958.082510, CLIP GPU encode pilot, VQA dataloader, run, start, 81827435248208
1783989958.086593, CLIP GPU encode pilot, VQA dataloader, run, end, 81827439332041
1783989958.086651, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827439387750
1783989958.137303, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827490051666
1783989958.137377, CLIP GPU encode pilot, pipeline - val, run, end, 149230526536514969672296525894765510100, 1783989958.082399, 1, 32, 81827490119375
1783989958.137610, CLIP GPU encode pilot, pipeline - val, run, start, 75421427455197808922806508682106640408, 1783989958.137577, 1, 33, 81827490348083
1783989958.137702, CLIP GPU encode pilot, VQA dataloader, run, start, 81827490442416
1783989958.140967, CLIP GPU encode pilot, VQA dataloader, run, end, 81827493706541
1783989958.141014, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827493752875
1783989958.192210, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827544958208
1783989958.192267, CLIP GPU encode pilot, pipeline - val, run, end, 75421427455197808922806508682106640408, 1783989958.137577, 1, 33, 81827545004500
1783989958.192422, CLIP GPU encode pilot, pipeline - val, run, start, 249548194509306555510400628354425818591, 1783989958.192398, 1, 34, 81827545158625
1783989958.192493, CLIP GPU encode pilot, VQA dataloader, run, start, 81827545230291
1783989958.194100, CLIP GPU encode pilot, VQA dataloader, run, end, 81827546837708
1783989958.194154, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827546888541
1783989958.243933, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827596681250
1783989958.243995, CLIP GPU encode pilot, pipeline - val, run, end, 249548194509306555510400628354425818591, 1783989958.192398, 1, 34, 81827596733666
1783989958.244160, CLIP GPU encode pilot, pipeline - val, run, start, 247317773966333833653382315003300063591, 1783989958.244136, 1, 35, 81827596895583
1783989958.244223, CLIP GPU encode pilot, VQA dataloader, run, start, 81827596959791
1783989958.247536, CLIP GPU encode pilot, VQA dataloader, run, end, 81827600275291
1783989958.247583, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827600319208
1783989958.298872, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827651628875
1783989958.298945, CLIP GPU encode pilot, pipeline - val, run, end, 247317773966333833653382315003300063591, 1783989958.244136, 1, 35, 81827651684208
1783989958.299109, CLIP GPU encode pilot, pipeline - val, run, start, 26838575435502135258201499315000042851, 1783989958.299086, 1, 36, 81827651845583
1783989958.299179, CLIP GPU encode pilot, VQA dataloader, run, start, 81827651916500
1783989958.301685, CLIP GPU encode pilot, VQA dataloader, run, end, 81827654422041
1783989958.301739, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827654473291
1783989958.352447, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827705192666
1783989958.352518, CLIP GPU encode pilot, pipeline - val, run, end, 26838575435502135258201499315000042851, 1783989958.299086, 1, 36, 81827705258666
1783989958.352731, CLIP GPU encode pilot, pipeline - val, run, start, 19743517114379104664126943132694139317, 1783989958.352701, 1, 37, 81827705468666
1783989958.352836, CLIP GPU encode pilot, VQA dataloader, run, start, 81827705574208
1783989958.355501, CLIP GPU encode pilot, VQA dataloader, run, end, 81827708237208
1783989958.355553, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827708286458
1783989958.405654, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827758394416
1783989958.405705, CLIP GPU encode pilot, pipeline - val, run, end, 19743517114379104664126943132694139317, 1783989958.352701, 1, 37, 81827758441541
1783989958.405855, CLIP GPU encode pilot, pipeline - val, run, start, 73524069692666377346036984030114354907, 1783989958.405836, 1, 38, 81827758590291
1783989958.405923, CLIP GPU encode pilot, VQA dataloader, run, start, 81827758656500
1783989958.408377, CLIP GPU encode pilot, VQA dataloader, run, end, 81827761111791
1783989958.408424, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827761157083
1783989958.459434, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827812176375
1783989958.459489, CLIP GPU encode pilot, pipeline - val, run, end, 73524069692666377346036984030114354907, 1783989958.405836, 1, 38, 81827812225916
1783989958.459641, CLIP GPU encode pilot, pipeline - val, run, start, 266080697718193481562190251655750510270, 1783989958.459619, 1, 39, 81827812375708
1783989958.459718, CLIP GPU encode pilot, VQA dataloader, run, start, 81827812456916
1783989958.463452, CLIP GPU encode pilot, VQA dataloader, run, end, 81827816188333
1783989958.463493, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827816226833
1783989958.514022, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827866770583
1783989958.514098, CLIP GPU encode pilot, pipeline - val, run, end, 266080697718193481562190251655750510270, 1783989958.459619, 1, 39, 81827866836416
1783989958.514335, CLIP GPU encode pilot, pipeline - val, run, start, 291434428852535721041761015941432130105, 1783989958.514299, 1, 40, 81827867074666
1783989958.514449, CLIP GPU encode pilot, VQA dataloader, run, start, 81827867184625
1783989958.519292, CLIP GPU encode pilot, VQA dataloader, run, end, 81827872029416
1783989958.519338, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827872073416
1783989958.570877, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827923627291
1783989958.570954, CLIP GPU encode pilot, pipeline - val, run, end, 291434428852535721041761015941432130105, 1783989958.514299, 1, 40, 81827923694708
1783989958.571168, CLIP GPU encode pilot, pipeline - val, run, start, 155016021102831562786435267658443434237, 1783989958.571133, 1, 41, 81827923907458
1783989958.571285, CLIP GPU encode pilot, VQA dataloader, run, start, 81827924021833
1783989958.574272, CLIP GPU encode pilot, VQA dataloader, run, end, 81827927008083
1783989958.574324, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827927060458
1783989958.626179, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81827978920416
1783989958.626236, CLIP GPU encode pilot, pipeline - val, run, end, 155016021102831562786435267658443434237, 1783989958.571133, 1, 41, 81827978973833
1783989958.626433, CLIP GPU encode pilot, pipeline - val, run, start, 224017503454121546099102961152588472469, 1783989958.626402, 1, 42, 81827979178458
1783989958.626543, CLIP GPU encode pilot, VQA dataloader, run, start, 81827979282250
1783989958.628904, CLIP GPU encode pilot, VQA dataloader, run, end, 81827981639625
1783989958.628974, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81827981708208
1783989958.679378, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828032118416
1783989958.679433, CLIP GPU encode pilot, pipeline - val, run, end, 224017503454121546099102961152588472469, 1783989958.626402, 1, 42, 81828032169541
1783989958.679611, CLIP GPU encode pilot, pipeline - val, run, start, 131649500307979239020067969085727175443, 1783989958.679582, 1, 43, 81828032344875
1783989958.679694, CLIP GPU encode pilot, VQA dataloader, run, start, 81828032428625
1783989958.683509, CLIP GPU encode pilot, VQA dataloader, run, end, 81828036244666
1783989958.683573, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828036306583
1783989958.734380, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828087118916
1783989958.734433, CLIP GPU encode pilot, pipeline - val, run, end, 131649500307979239020067969085727175443, 1783989958.679582, 1, 43, 81828087168666
1783989958.734619, CLIP GPU encode pilot, pipeline - val, run, start, 142468897897148779918966997780569450063, 1783989958.734588, 1, 44, 81828087352125
1783989958.734722, CLIP GPU encode pilot, VQA dataloader, run, start, 81828087455750
1783989958.737162, CLIP GPU encode pilot, VQA dataloader, run, end, 81828089896416
1783989958.737224, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828089956625
1783989958.787937, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828140675250
1783989958.787988, CLIP GPU encode pilot, pipeline - val, run, end, 142468897897148779918966997780569450063, 1783989958.734588, 1, 44, 81828140723333
1783989958.788155, CLIP GPU encode pilot, pipeline - val, run, start, 102131108946958694257952142375206735251, 1783989958.788129, 1, 45, 81828140888125
1783989958.788235, CLIP GPU encode pilot, VQA dataloader, run, start, 81828140968625
1783989958.790899, CLIP GPU encode pilot, VQA dataloader, run, end, 81828143632958
1783989958.790943, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828143675291
1783989958.842712, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828195451083
1783989958.842766, CLIP GPU encode pilot, pipeline - val, run, end, 102131108946958694257952142375206735251, 1783989958.788129, 1, 45, 81828195501166
1783989958.842950, CLIP GPU encode pilot, pipeline - val, run, start, 310973944351201834197165646557977405191, 1783989958.842922, 1, 46, 81828195682416
1783989958.843030, CLIP GPU encode pilot, VQA dataloader, run, start, 81828195764125
