1783986076.496825, VQA MPS Monolith, pipeline, prepare, start, 77945898574708
1783986114.246869, VQA MPS Monolith, VQA dataloader, run, start, 77983648547125
1783986114.252875, VQA MPS Monolith, VQA dataloader, run, end, 77983654551666
1783986114.252934, VQA MPS Monolith, CLIP vision encoder, run, start, 77983654607791
1783986114.344426, VQA MPS Monolith, CLIP vision encoder, run, end, 77983746110916
1783986114.344503, VQA MPS Monolith, FAISS retriever, run, start, 77983746176750
1783986114.345650, VQA MPS Monolith, FAISS retriever, run, end, 77983747326291
1783986114.345702, VQA MPS Monolith, VQA formatter, run, start, 77983747373583
1783986114.346065, VQA MPS Monolith, VQA formatter, run, end, 77983747736458
1783986114.346099, VQA MPS Monolith, LLM generator, run, start, 77983747768958
1783986115.936332, VQA MPS Monolith, LLM generator, run, end, 77985338042250
1783986115.936481, VQA MPS Monolith, End stage, run, start, 77985338166708
1783986115.938040, VQA MPS Monolith, End stage, run, end, 77985339720041
1783986115.938090, VQA MPS Monolith, pipeline - val, run, end, 14310012009585665513170054708069653815, 1783986114.246660, 1, 4, 77985339769416
1783986115.938306, VQA MPS Monolith, pipeline - val, run, start, 106445874449593350550752551823382061965, 1783986115.938269, 1, 5, 77985339984250
1783986115.938440, VQA MPS Monolith, VQA dataloader, run, start, 77985340118791
1783986115.943499, VQA MPS Monolith, VQA dataloader, run, end, 77985345179083
1783986115.943556, VQA MPS Monolith, CLIP vision encoder, run, start, 77985345235250
1783986116.030440, VQA MPS Monolith, CLIP vision encoder, run, end, 77985432134291
1783986116.030527, VQA MPS Monolith, FAISS retriever, run, start, 77985432205916
1783986116.031760, VQA MPS Monolith, FAISS retriever, run, end, 77985433441208
1783986116.031812, VQA MPS Monolith, VQA formatter, run, start, 77985433492500
1783986116.032168, VQA MPS Monolith, VQA formatter, run, end, 77985433845125
1783986116.032199, VQA MPS Monolith, LLM generator, run, start, 77985433878791
1783986117.041824, VQA MPS Monolith, LLM generator, run, end, 77986443515166
1783986117.041890, VQA MPS Monolith, End stage, run, start, 77986443571041
1783986117.042694, VQA MPS Monolith, End stage, run, end, 77986444374166
1783986117.042729, VQA MPS Monolith, pipeline - val, run, end, 106445874449593350550752551823382061965, 1783986115.938269, 1, 5, 77986444408208
1783986117.042857, VQA MPS Monolith, pipeline - val, run, start, 243645758197968281858956549506360194119, 1783986117.042831, 1, 6, 77986444535583
1783986117.042935, VQA MPS Monolith, VQA dataloader, run, start, 77986444613791
1783986117.046106, VQA MPS Monolith, VQA dataloader, run, end, 77986447786875
1783986117.046142, VQA MPS Monolith, CLIP vision encoder, run, start, 77986447821000
1783986117.096619, VQA MPS Monolith, CLIP vision encoder, run, end, 77986498302875
1783986117.096673, VQA MPS Monolith, FAISS retriever, run, start, 77986498353125
1783986117.097463, VQA MPS Monolith, FAISS retriever, run, end, 77986499142666
1783986117.097497, VQA MPS Monolith, VQA formatter, run, start, 77986499175666
1783986117.097718, VQA MPS Monolith, VQA formatter, run, end, 77986499396833
1783986117.097762, VQA MPS Monolith, LLM generator, run, start, 77986499439125
1783986119.596267, VQA MPS Monolith, LLM generator, run, end, 77988997986541
1783986119.596406, VQA MPS Monolith, End stage, run, start, 77988998102791
1783986119.598075, VQA MPS Monolith, End stage, run, end, 77988999766958
1783986119.598126, VQA MPS Monolith, pipeline - val, run, end, 243645758197968281858956549506360194119, 1783986117.042831, 1, 6, 77988999821291
1783986119.598373, VQA MPS Monolith, pipeline - val, run, start, 208301872617359639034564601867367930779, 1783986119.598329, 1, 7, 77989000061625
1783986119.598469, VQA MPS Monolith, VQA dataloader, run, start, 77989000157541
1783986119.603090, VQA MPS Monolith, VQA dataloader, run, end, 77989004781041
1783986119.603146, VQA MPS Monolith, CLIP vision encoder, run, start, 77989004834583
1783986119.690265, VQA MPS Monolith, CLIP vision encoder, run, end, 77989091966291
1783986119.690342, VQA MPS Monolith, FAISS retriever, run, start, 77989092031791
1783986119.691516, VQA MPS Monolith, FAISS retriever, run, end, 77989093210083
1783986119.691578, VQA MPS Monolith, VQA formatter, run, start, 77989093268916
1783986119.691945, VQA MPS Monolith, VQA formatter, run, end, 77989093632458
1783986119.691982, VQA MPS Monolith, LLM generator, run, start, 77989093668833
1783986121.834103, VQA MPS Monolith, LLM generator, run, end, 77991235807333
1783986121.834170, VQA MPS Monolith, End stage, run, start, 77991235865291
1783986121.837082, VQA MPS Monolith, End stage, run, end, 77991238776541
1783986121.837116, VQA MPS Monolith, pipeline - val, run, end, 208301872617359639034564601867367930779, 1783986119.598329, 1, 7, 77991238808458
1783986121.837258, VQA MPS Monolith, pipeline - val, run, start, 318947914242361684120004147115125584109, 1783986121.837232, 1, 8, 77991238950958
1783986121.837319, VQA MPS Monolith, VQA dataloader, run, start, 77991239011833
1783986121.840847, VQA MPS Monolith, VQA dataloader, run, end, 77991242541333
1783986121.840882, VQA MPS Monolith, CLIP vision encoder, run, start, 77991242574250
1783986121.918335, VQA MPS Monolith, CLIP vision encoder, run, end, 77991320041625
1783986121.918403, VQA MPS Monolith, FAISS retriever, run, start, 77991320097291
1783986121.919250, VQA MPS Monolith, FAISS retriever, run, end, 77991320947041
1783986121.919293, VQA MPS Monolith, VQA formatter, run, start, 77991320984333
1783986121.919558, VQA MPS Monolith, VQA formatter, run, end, 77991321249958
1783986121.919587, VQA MPS Monolith, LLM generator, run, start, 77991321278708
1783986126.749887, VQA MPS Monolith, LLM generator, run, end, 77996151630666
1783986126.750041, VQA MPS Monolith, End stage, run, start, 77996151757583
1783986126.751751, VQA MPS Monolith, End stage, run, end, 77996153463708
1783986126.751804, VQA MPS Monolith, pipeline - val, run, end, 318947914242361684120004147115125584109, 1783986121.837232, 1, 8, 77996153515875
1783986126.752013, VQA MPS Monolith, pipeline - val, run, start, 300841119275644741274508363227183183236, 1783986126.751975, 1, 9, 77996153723541
1783986126.752138, VQA MPS Monolith, VQA dataloader, run, start, 77996153849041
1783986126.757081, VQA MPS Monolith, VQA dataloader, run, end, 77996158794166
1783986126.757135, VQA MPS Monolith, CLIP vision encoder, run, start, 77996158845916
1783986126.845009, VQA MPS Monolith, CLIP vision encoder, run, end, 77996246734166
1783986126.845095, VQA MPS Monolith, FAISS retriever, run, start, 77996246807416
1783986126.846289, VQA MPS Monolith, FAISS retriever, run, end, 77996248007541
1783986126.846362, VQA MPS Monolith, VQA formatter, run, start, 77996248075208
1783986126.846745, VQA MPS Monolith, VQA formatter, run, end, 77996248455166
1783986126.846789, VQA MPS Monolith, LLM generator, run, start, 77996248499541
1783986129.853292, VQA MPS Monolith, LLM generator, run, end, 77999255045375
1783986129.853436, VQA MPS Monolith, End stage, run, start, 77999255163625
1783986129.855061, VQA MPS Monolith, End stage, run, end, 77999256784333
1783986129.855116, VQA MPS Monolith, pipeline - val, run, end, 300841119275644741274508363227183183236, 1783986126.751975, 1, 9, 77999256837125
1783986129.855374, VQA MPS Monolith, pipeline - val, run, start, 295309925690608100424418249672261668291, 1783986129.855334, 1, 10, 77999257094125
1783986129.855496, VQA MPS Monolith, VQA dataloader, run, start, 77999257216833
1783986129.860924, VQA MPS Monolith, VQA dataloader, run, end, 77999262645416
1783986129.860975, VQA MPS Monolith, CLIP vision encoder, run, start, 77999262695958
1783986129.950961, VQA MPS Monolith, CLIP vision encoder, run, end, 77999352694083
1783986129.951033, VQA MPS Monolith, FAISS retriever, run, start, 77999352753208
1783986129.952175, VQA MPS Monolith, FAISS retriever, run, end, 77999353897583
1783986129.952220, VQA MPS Monolith, VQA formatter, run, start, 77999353937541
1783986129.952531, VQA MPS Monolith, VQA formatter, run, end, 77999354248250
1783986129.952559, VQA MPS Monolith, LLM generator, run, start, 77999354275458
1783986133.907627, VQA MPS Monolith, LLM generator, run, end, 78003309375583
1783986133.907720, VQA MPS Monolith, End stage, run, start, 78003309454375
1783986133.909586, VQA MPS Monolith, End stage, run, end, 78003311318208
1783986133.909628, VQA MPS Monolith, pipeline - val, run, end, 295309925690608100424418249672261668291, 1783986129.855334, 1, 10, 78003311357625
1783986133.909816, VQA MPS Monolith, pipeline - val, run, start, 317711745224293132432358898901053741969, 1783986133.909787, 1, 11, 78003311546250
1783986133.909901, VQA MPS Monolith, VQA dataloader, run, start, 78003311630833
1783986133.914227, VQA MPS Monolith, VQA dataloader, run, end, 78003315959958
1783986133.914274, VQA MPS Monolith, CLIP vision encoder, run, start, 78003316006791
1783986134.000824, VQA MPS Monolith, CLIP vision encoder, run, end, 78003402569791
1783986134.000934, VQA MPS Monolith, FAISS retriever, run, start, 78003402665791
1783986134.002047, VQA MPS Monolith, FAISS retriever, run, end, 78003403781541
1783986134.002102, VQA MPS Monolith, VQA formatter, run, start, 78003403835083
1783986134.002445, VQA MPS Monolith, VQA formatter, run, end, 78003404175583
1783986134.002483, VQA MPS Monolith, LLM generator, run, start, 78003404211500
1783986137.119365, VQA MPS Monolith, LLM generator, run, end, 78006521143083
1783986137.119530, VQA MPS Monolith, End stage, run, start, 78006521278666
1783986137.121158, VQA MPS Monolith, End stage, run, end, 78006522901875
1783986137.121211, VQA MPS Monolith, pipeline - val, run, end, 317711745224293132432358898901053741969, 1783986133.909787, 1, 11, 78006522951708
1783986137.121450, VQA MPS Monolith, pipeline - val, run, start, 64303699666115451945761443090335619036, 1783986137.121411, 1, 12, 78006523197583
1783986137.121560, VQA MPS Monolith, VQA dataloader, run, start, 78006523302041
1783986137.125734, VQA MPS Monolith, VQA dataloader, run, end, 78006527477208
1783986137.125782, VQA MPS Monolith, CLIP vision encoder, run, start, 78006527523416
1783986137.216041, VQA MPS Monolith, CLIP vision encoder, run, end, 78006617793625
1783986137.216119, VQA MPS Monolith, FAISS retriever, run, start, 78006617865875
1783986137.220795, VQA MPS Monolith, FAISS retriever, run, end, 78006622541250
1783986137.220862, VQA MPS Monolith, VQA formatter, run, start, 78006622605833
1783986137.221236, VQA MPS Monolith, VQA formatter, run, end, 78006622976125
1783986137.221278, VQA MPS Monolith, LLM generator, run, start, 78006623016666
1783986138.746973, VQA MPS Monolith, LLM generator, run, end, 78008148735000
1783986138.747112, VQA MPS Monolith, End stage, run, start, 78008148857541
1783986138.747658, VQA MPS Monolith, End stage, run, end, 78008149405333
1783986138.747711, VQA MPS Monolith, pipeline - val, run, end, 64303699666115451945761443090335619036, 1783986137.121411, 1, 12, 78008149458708
1783986138.747916, VQA MPS Monolith, pipeline - val, run, start, 158277032078253875660886452970720461796, 1783986138.747887, 1, 13, 78008149661750
1783986138.748004, VQA MPS Monolith, VQA dataloader, run, start, 78008149747416
1783986138.751478, VQA MPS Monolith, VQA dataloader, run, end, 78008153224458
1783986138.751528, VQA MPS Monolith, CLIP vision encoder, run, start, 78008153274166
1783986138.836015, VQA MPS Monolith, CLIP vision encoder, run, end, 78008237773750
1783986138.836097, VQA MPS Monolith, FAISS retriever, run, start, 78008237844625
1783986138.837229, VQA MPS Monolith, FAISS retriever, run, end, 78008238979500
1783986138.837284, VQA MPS Monolith, VQA formatter, run, start, 78008239029375
1783986138.837604, VQA MPS Monolith, VQA formatter, run, end, 78008239347791
1783986138.837662, VQA MPS Monolith, LLM generator, run, start, 78008239405333
1783986140.201242, VQA MPS Monolith, LLM generator, run, end, 78009603008750
1783986140.201318, VQA MPS Monolith, End stage, run, start, 78009603066958
1783986140.202105, VQA MPS Monolith, End stage, run, end, 78009603853666
1783986140.202140, VQA MPS Monolith, pipeline - val, run, end, 158277032078253875660886452970720461796, 1783986138.747887, 1, 13, 78009603888875
1783986140.202264, VQA MPS Monolith, pipeline - val, run, start, 19103348385605762525227578659257628140, 1783986140.202241, 1, 14, 78009604011083
1783986140.202334, VQA MPS Monolith, VQA dataloader, run, start, 78009604081375
1783986140.204893, VQA MPS Monolith, VQA dataloader, run, end, 78009606642000
1783986140.204928, VQA MPS Monolith, CLIP vision encoder, run, start, 78009606675083
1783986140.282822, VQA MPS Monolith, CLIP vision encoder, run, end, 78009684582375
1783986140.282890, VQA MPS Monolith, FAISS retriever, run, start, 78009684639541
1783986140.285563, VQA MPS Monolith, FAISS retriever, run, end, 78009687317166
1783986140.285610, VQA MPS Monolith, VQA formatter, run, start, 78009687356833
1783986140.285849, VQA MPS Monolith, VQA formatter, run, end, 78009687596458
1783986140.285880, VQA MPS Monolith, LLM generator, run, start, 78009687626625
1783986142.598491, VQA MPS Monolith, LLM generator, run, end, 78012000257125
1783986142.598557, VQA MPS Monolith, End stage, run, start, 78012000313416
1783986142.599669, VQA MPS Monolith, End stage, run, end, 78012001425416
1783986142.599705, VQA MPS Monolith, pipeline - val, run, end, 19103348385605762525227578659257628140, 1783986140.202241, 1, 14, 78012001459083
1783986142.599892, VQA MPS Monolith, pipeline - val, run, start, 338666618996771472471279578766600325789, 1783986142.599821, 1, 15, 78012001651000
1783986142.600042, VQA MPS Monolith, VQA dataloader, run, start, 78012001796000
1783986142.602454, VQA MPS Monolith, VQA dataloader, run, end, 78012004209875
1783986142.602481, VQA MPS Monolith, CLIP vision encoder, run, start, 78012004234083
1783986142.680023, VQA MPS Monolith, CLIP vision encoder, run, end, 78012081789166
1783986142.680088, VQA MPS Monolith, FAISS retriever, run, start, 78012081844250
1783986142.681140, VQA MPS Monolith, FAISS retriever, run, end, 78012082900208
1783986142.681186, VQA MPS Monolith, VQA formatter, run, start, 78012082939208
1783986142.681440, VQA MPS Monolith, VQA formatter, run, end, 78012083194041
1783986142.681471, VQA MPS Monolith, LLM generator, run, start, 78012083224916
1783986145.108715, VQA MPS Monolith, LLM generator, run, end, 78014510514708
1783986145.108863, VQA MPS Monolith, End stage, run, start, 78014510635125
1783986145.110490, VQA MPS Monolith, End stage, run, end, 78014512258833
1783986145.110548, VQA MPS Monolith, pipeline - val, run, end, 338666618996771472471279578766600325789, 1783986142.599821, 1, 15, 78014512313333
