1787490230.719525, Self-RAG Monolith (multi-hop), pipeline, prepare, start, 174576527315291
1787490342.543124, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174688350444375
1787490342.543813, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174688351132333
1787490342.543881, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174688351199791
1787490342.548678, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 696, 174688355998750
1787490342.548706, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174688356023500
1787490346.107456, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174691914813833
1787490347.288366, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 33, 174693095720791
1787490347.288744, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174693096054916
1787490347.288899, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174693096215750
1787490347.289309, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174693096619875
1787490347.289588, Self-RAG Monolith (multi-hop), End stage, run, start, 174693096903208
1787490347.290943, Self-RAG Monolith (multi-hop), End stage, run, end, 174693098253958
1787490347.291067, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 139980706984060799351830026543332354696, 1787490342.057193, 1, 4, 174693098376000
1787490347.291370, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 314474491559685126250561995959641932546, 1787490347.291308, 1, 5, 174693098682208
1787490347.291558, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 174693098866250
1787490347.292827, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 174693100139375
1787490347.292966, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174693100279083
1787490347.594776, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174693402093333
1787490347.594866, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174693402171916
1787490347.595239, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174693402546541
1787490347.595311, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174693402616041
1787490347.598931, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 906, 174693406236583
1787490347.598958, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174693406261041
1787490352.191681, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174697998996333
1787490353.289075, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174699096407208
1787490353.289370, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174699096665416
1787490353.289561, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174699096853625
1787490353.289834, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174699097126583
1787490353.290067, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174699097367333
1787490353.291201, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174699098494500
1787490353.291519, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174699098810916
1787490353.294660, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 650, 174699101957750
1787490353.294727, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174699102016875
1787490356.706252, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174702513551791
1787490356.985760, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 8, 174702793062291
1787490356.985984, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174702793265708
1787490356.986164, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174702793449125
1787490357.268959, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174703076248625
1787490357.269094, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174703076374625
1787490357.269329, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174703076607708
1787490357.269398, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174703076674916
1787490357.273285, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1458, 174703080564291
1787490357.273316, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174703080592500
1787490364.431517, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174710238910708
1787490365.542392, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174711349663125
1787490365.542622, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174711349877291
1787490365.542731, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174711349988750
1787490365.543152, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174711350405791
1787490365.543309, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174711350572541
1787490365.544560, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174711351817375
1787490365.544653, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174711351909958
1787490365.549102, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 1035, 174711356358000
1787490365.549130, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174711356382250
1787490370.770425, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174716577701375
1787490371.060576, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 8, 174716867853000
1787490371.060886, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174716868129500
1787490371.061235, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174716868483250
1787490371.478134, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174717285384875
1787490371.478337, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174717285578791
1787490371.478635, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174717285875791
1787490371.478723, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174717285960083
1787490371.481874, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1458, 174717289111291
1787490371.481900, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174717289135708
1787490378.655228, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174724462575583
1787490379.787664, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174725594927250
1787490379.788177, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174725595397416
1787490379.788529, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174725595751166
1787490379.789209, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174725596426250
1787490379.789610, Self-RAG Monolith (multi-hop), End stage, run, start, 174725596836250
1787490379.791483, Self-RAG Monolith (multi-hop), End stage, run, end, 174725598700583
1787490379.791555, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 314474491559685126250561995959641932546, 1787490347.291308, 1, 5, 174725598770458
1787490379.791966, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 140679635730620299986677512018599048551, 1787490379.791878, 1, 6, 174725599187458
1787490379.792214, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 174725599428958
1787490379.794749, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 174725601965416
1787490379.794889, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174725602107166
1787490380.091766, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174725898991875
1787490380.091861, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174725899075000
1787490380.092493, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174725899709208
1787490380.092567, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174725899782875
1787490380.097327, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 950, 174725904541625
1787490380.097356, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174725904567625
1787490384.862224, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174730669536500
1787490385.966556, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174731773800750
1787490385.966903, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174731774107625
1787490385.967211, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174731774418750
1787490385.968026, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174731775231875
1787490385.968393, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174731775605291
1787490385.970255, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174731777457791
1787490385.970453, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174731777657958
1787490385.974338, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 658, 174731781539083
1787490385.974382, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174731781578833
1787490389.397094, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174735204304083
1787490389.861033, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 13, 174735668235666
1787490389.861234, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174735668425041
1787490389.861400, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174735668588041
1787490390.119941, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174735927138083
1787490390.120108, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174735927295958
1787490390.120387, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174735927573583
1787490390.120533, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174735927721208
1787490390.122677, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 950, 174735929862625
1787490390.122704, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174735929886750
1787490395.024588, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174740831903791
1787490396.135207, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174741942416583
1787490396.135821, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174741942995041
1787490396.136096, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174741943279750
1787490396.137071, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174741944244500
1787490396.137389, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, start, 174741944567958
1787490396.140918, Self-RAG Monolith (multi-hop), Query rewrite formatter, run, end, 174741948089250
1787490396.141019, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, start, 174741948203750
1787490396.147788, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_prompt_tokens, 658, 174741954960791
1787490396.147834, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, start, 174741955000541
1787490399.580190, Self-RAG Monolith (multi-hop), Query rewrite LLM, first_token, end, 174745387367291
1787490400.041495, Self-RAG Monolith (multi-hop), Query rewrite LLM, n_generated_tokens, 13, 174745848686791
1787490400.041729, Self-RAG Monolith (multi-hop), Query rewrite LLM, run, end, 174745848887083
1787490400.041954, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174745849114708
1787490400.302152, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174746109320000
1787490400.302282, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174746109441375
1787490400.302663, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174746109822083
1787490400.302799, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174746109958208
1787490400.304882, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 950, 174746112037708
1787490400.304906, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174746112059916
1787490405.048532, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174750855722875
1787490406.186656, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 31, 174751993842666
1787490406.187016, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174751994161541
1787490406.187201, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174751994343666
1787490406.187537, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174751994683500
1787490406.187804, Self-RAG Monolith (multi-hop), End stage, run, start, 174751994952791
1787490406.190680, Self-RAG Monolith (multi-hop), End stage, run, end, 174751997826625
1787490406.190825, Self-RAG Monolith (multi-hop), pipeline - val, run, end, 140679635730620299986677512018599048551, 1787490379.791878, 1, 6, 174751997968166
1787490406.191257, Self-RAG Monolith (multi-hop), pipeline - val, run, start, 114560527176286277229651578203212080538, 1787490406.191136, 1, 7, 174751998408500
1787490406.191487, Self-RAG Monolith (multi-hop), Question dataloader, run, start, 174751998629416
1787490406.193843, Self-RAG Monolith (multi-hop), Question dataloader, run, end, 174752000986916
1787490406.193964, Self-RAG Monolith (multi-hop), Document retriever, run, start, 174752001107125
1787490406.369417, Self-RAG Monolith (multi-hop), Document retriever, run, end, 174752176569250
1787490406.369573, Self-RAG Monolith (multi-hop), Monolith formatter, run, start, 174752176715041
1787490406.369916, Self-RAG Monolith (multi-hop), Monolith formatter, run, end, 174752177056625
1787490406.370015, Self-RAG Monolith (multi-hop), Monolith LLM, run, start, 174752177155125
1787490406.376187, Self-RAG Monolith (multi-hop), Monolith LLM, n_prompt_tokens, 1241, 174752183328000
1787490406.376219, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, start, 174752183355583
1787490412.494291, Self-RAG Monolith (multi-hop), Monolith LLM, first_token, end, 174758301460250
1787490413.821049, Self-RAG Monolith (multi-hop), Monolith LLM, n_generated_tokens, 37, 174759628207541
1787490413.821405, Self-RAG Monolith (multi-hop), Monolith LLM, run, end, 174759628527208
1787490413.821656, Self-RAG Monolith (multi-hop), Monolith router, run, start, 174759628783500
1787490413.822027, Self-RAG Monolith (multi-hop), Monolith router, run, end, 174759629148500
1787490413.822276, Self-RAG Monolith (multi-hop), End stage, run, start, 174759629411500
