1769611524.408986, EfficientNetv2 S Imagenette training, pipeline, prepare, start
1769614562.705137, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614562.705183, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614562.793421, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614562.793515, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614562.704730, 1, 3
1769614562.793656, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614562.793626, 1, 4
1769614562.793723, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614562.793831, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614562.793863, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614562.882237, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614562.882291, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614562.793626, 1, 4
1769614562.882377, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614562.882360, 1, 5
1769614562.882416, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614562.882648, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614562.882712, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614562.970486, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614562.970541, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614562.882360, 1, 5
1769614562.970664, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614562.970635, 1, 6
1769614562.970705, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614562.970940, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614562.970979, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.058110, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.058164, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614562.970635, 1, 6
1769614563.058244, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.058229, 1, 7
1769614563.058277, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.058509, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.058534, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.147386, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.147453, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.058229, 1, 7
1769614563.147557, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.147534, 1, 8
1769614563.147597, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.147907, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.147985, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.235373, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.235432, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.147534, 1, 8
1769614563.235509, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.235492, 1, 9
1769614563.235549, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.235790, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.235826, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.323077, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.323134, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.235492, 1, 9
1769614563.323220, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.323202, 1, 10
1769614563.323254, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.323518, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.323561, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.412967, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.413031, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.323202, 1, 10
1769614563.413119, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.413098, 1, 11
1769614563.413152, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.413459, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.413534, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.503559, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.503618, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.413098, 1, 11
1769614563.503704, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.503685, 1, 12
1769614563.503738, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.503990, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.504058, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.592508, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.592575, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.503685, 1, 12
1769614563.592689, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.592663, 1, 13
1769614563.592730, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.592982, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.593015, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.681476, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.681535, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.592663, 1, 13
1769614563.681612, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.681598, 1, 14
1769614563.681661, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.681893, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.681922, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.768776, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.768839, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.681598, 1, 14
1769614563.768929, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.768911, 1, 15
1769614563.768964, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.769211, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.769241, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.856615, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.856673, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.768911, 1, 15
1769614563.856753, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.856735, 1, 16
1769614563.856789, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.857042, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.857071, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614563.944524, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614563.944584, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.856735, 1, 16
1769614563.944663, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614563.944644, 1, 17
1769614563.944704, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614563.944961, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614563.944993, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.032706, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.032763, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614563.944644, 1, 17
1769614564.032909, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.032888, 1, 18
1769614564.032947, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.033185, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.033217, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.121212, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.121270, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.032888, 1, 18
1769614564.121357, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.121340, 1, 19
1769614564.121396, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.121648, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.121716, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.209564, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.209616, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.121340, 1, 19
1769614564.209699, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.209685, 1, 20
1769614564.209733, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.209957, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.210054, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.297859, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.297915, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.209685, 1, 20
1769614564.297992, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.297974, 1, 21
1769614564.298035, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.298322, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.298411, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.385257, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.385339, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.297974, 1, 21
1769614564.385437, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.385416, 1, 22
1769614564.385480, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.385721, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.385800, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.472928, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.473012, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.385416, 1, 22
1769614564.473173, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.473134, 1, 23
1769614564.473224, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.473520, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.473613, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.561571, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.561628, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.473134, 1, 23
1769614564.561715, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.561701, 1, 24
1769614564.561746, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.562012, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.562092, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.648851, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.648905, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.561701, 1, 24
1769614564.648990, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.648970, 1, 25
1769614564.649021, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.649238, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.649265, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.736111, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.736166, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.648970, 1, 25
1769614564.736246, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.736230, 1, 26
1769614564.736282, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.736524, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.736590, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.823882, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.823935, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.736230, 1, 26
1769614564.824015, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.823998, 1, 27
1769614564.824049, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.824294, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.824362, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.911750, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.911823, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.823998, 1, 27
1769614564.911925, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.911906, 1, 28
1769614564.911973, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.912195, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.912237, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614564.999399, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614564.999455, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.911906, 1, 28
1769614564.999544, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614564.999526, 1, 29
1769614564.999580, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614564.999800, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614564.999832, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.086291, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.086344, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614564.999526, 1, 29
1769614565.086431, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.086410, 1, 30
1769614565.086462, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.086693, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.086721, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.173786, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.173839, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.086410, 1, 30
1769614565.173921, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.173904, 1, 31
1769614565.173957, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.174279, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.174384, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.261689, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.261751, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.173904, 1, 31
1769614565.261837, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.261820, 1, 32
1769614565.261876, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.262136, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.262165, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.349225, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.349279, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.261820, 1, 32
1769614565.349364, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.349347, 1, 33
1769614565.349401, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.349628, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.349695, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.436631, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.436686, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.349347, 1, 33
1769614565.436773, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.436756, 1, 34
1769614565.436807, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
